Company Name,Ticker,Optionable,Sector,Industry,Market Cap ,Shares Outstanding ,Avg Volume,Last Close,Beta,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range
ConocoPhillips,COP,YES,Oils-Energy,Oil and Gas - Integrated - United States,71202.91,1174.58,7787634.5,60.62,1.23,60.67,42.5,99.72
CoreSite Realty Corporation,COR,YES,Finance,REIT and Equity Trust - Other,3520.2,34.24,374015.81,102.8,0.39,119.54,91.31,40.7
"Core-Mark Holding Company, Inc.",CORE,YES,Business Services,Business - Services,981.66,46.15,260944.59,21.27,0.59,37.96,20.22,5.92
"CorEnergy Infrastructure Trust, Inc.",CORR,YES,Finance,REIT and Equity Trust - Other,451.25,11.92,76449.45,37.87,1.91,38.98,31.9,84.32
Corcept Therapeutics Incorporated,CORT,YES,Medical,Medical - Drugs,1923.41,114.83,1447057.25,16.75,1.88,25.5,9.07,46.74
Costco Wholesale Corporation,COST,YES,Retail-Wholesale,Retail - Discount Stores,80922.85,438.82,2264967.75,184.41,0.96,198.91,150.44,70.08
Cott Corporation,COT,YES,Consumer Staples,Beverages - Soft drinks,2056,140.15,781675.13,14.67,0.8,17.62,12.32,44.34
"Cotiviti Holdings, Inc.",COTV,YES,Business Services,Technology Services,3121.09,92.42,293924.5,33.77,0.82,44.6,30.9,20.95
Coty Inc.,COTY,YES,Consumer Staples,Cosmetics,13745.01,749.86,3953787.5,18.33,0.37,21.53,14.36,55.37
COUPA SOFTWARE,COUP,YES,Computer and Technology,Internet - Software,2537,56.62,730356.94,44.81,1.13,49.18,24.5,82.29
"Cowen Group, Inc.",COWN,YES,Finance,Financial - Investment Bank,416.82,29.46,389652.56,14.15,1.27,17.95,12,36.13
Canadian Pacific Railway Limited,CP,YES,Transportation,Transportation - Rail,25268.65,143.96,332518.56,175.53,1.03,188.14,149.88,67.04
"Copa Holdings, S.A.",CPA,YES,Transportation,Transportation - Airline,5244.73,42.12,220403.7,124.51,1.74,141.01,108.37,49.45
Campbell Soup Company,CPB,YES,Consumer Staples,Food - Miscellaneous,13004.26,300.61,2840888,43.26,0.32,58.96,42.02,7.32
Callon Petroleum Company,CPE,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,2409.14,201.94,3904370.5,11.93,1.19,13.61,9.54,58.72
CPB Inc.,CPF,YES,Finance,Banks - West,857.33,29.87,152433.59,28.7,1.13,33.28,27.47,21.17
Crescent Point Energy Corporation,CPG,YES,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,3929.72,545.79,1661802.75,7.2,1.51,11.24,6.43,16.01
Cumberland Pharmaceuticals Inc.,CPIX,YES,Medical,Medical - Drugs,102.52,15.65,14860.8,6.55,0.69,7.96,5.56,41.25
Chesapeake Utilities Corporation,CPK,YES,Utilities,Utility - Gas Distribution,1210.31,16.34,102813.15,74.05,0.22,85.55,66.65,39.15
CPFL Energia S.A.,CPL,YES,Utilities,Utility - Electric Power,7242.46,508.96,39205.9,14.23,1.26,17.58,10.65,51.66
Capella Education Company,CPLA,YES,Consumer Discretionary,Schools,1031.24,11.65,64626.95,88.5,0.39,98.05,65.5,70.66
Capital Product Partners L.P.,CPLP,YES,Transportation,Transportation - Shipping,398.13,129.68,346922.69,3.07,1.25,3.97,3.04,3.23
"Copart, Inc.",CPRT,YES,Business Services,Auction and Valuation Services,11574.2,231.99,1182023.38,49.89,0.96,51.26,29.18,93.79
"Catalyst Pharmaceuticals, Inc.",CPRX,YES,Medical,Medical - Drugs,242.03,102.56,991688.69,2.36,1.62,4.4,1.64,26.09
Cooper-Standard Holdings Inc.,CPS,YES,Auto-Tires-Trucks,Automotive - Original Equipment,2256.34,17.92,112971.6,125.95,0.74,132.87,97.44,80.47
"Computer Programs and Systems, Inc.",CPSI,YES,Medical,Medical Info Systems,416.24,14.09,92017,29.55,0.07,35.55,26.15,36.17
"Consumer Portfolio Services, Inc.",CPSS,YES,Finance,Financial - Miscellaneous Services,82.99,21.62,33789.4,3.8383,1.53,5.04,3.67,12.28
Camden Property Trust,CPT,YES,Finance,REIT and Equity Trust - Residential,7841.39,92.72,486490.5,84.57,0.36,95.7,78.55,35.1
Capitala Finance Corp.,CPTA,YES,Finance,Financial - SBIC & Commercial Industry,125.59,15.96,80150.5,7.87,0.95,14.28,7.06,11.22
"Cheniere Energy Partners LP Holdings, LLC",CQH,YES,Oils-Energy,Oil and Gas - Production and Pipelines,6288.34,231.7,157376.34,27.14,0.95,29.25,24.37,56.76
"Cheniere Energy Partners, LP",CQP,YES,Oils-Energy,Oil and Gas - Production and Pipelines,14157.06,484,239710.5,29.25,0.82,33.07,26.78,39.27
Crane Company,CR,YES,Conglomerates,Diversified Operations,5386.55,59.65,208647.95,90.31,1.2,99.94,72.19,65.3
"CRA International,Inc.",CRAI,YES,Business Services,Consulting Services,451.42,8.38,54369.5,53.9,0.73,54.2,33.32,98.56
Cray Inc,CRAY,YES,Computer and Technology,Computer - Mainframe,813.56,40.48,253565.2,20.1,1.49,26.55,17.2,31.02
"Corbus Pharmaceuticals Holdings, Inc.",CRBP,YES,Medical,Medical - Drugs,348.52,57.13,674900.94,6.1,2.23,9.25,5.6,13.7
California Resources Corporation,CRC,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,774.81,42.9,1536292.13,18.06,5.86,24.37,6.54,64.61
"Care.com, Inc.",CRCM,YES,Consumer Discretionary,Conusmer Services - Miscellaneous,484.66,30.48,268148.94,15.9,1.03,20.59,11.57,48
Crawford & Company,CRD.A,YES,Business Services,Business - Services,445.01,55.77,63730.65,7.98,1.2,9.95,6.91,35.2
"Cree, Inc.",CREE,YES,Computer and Technology,Semiconductor - Discretes,4096.41,99.89,1215981.63,41.01,0.62,43.21,21.7,89.77
Cresud S.A.C.I.F. y A.,CRESY,YES,Consumer Staples,Agriculture - Operations,1074.01,50.16,145088.45,21.41,1.35,23.02,17.5,70.83
CRH PLC,CRH,YES,Construction,Building Products - Miscellaneous,28414.22,838.92,643214.06,33.87,0.92,38.96,33.1,13.14
"Carter's, Inc.",CRI,YES,Consumer Discretionary,Shoes and Retail Apparel ,4917.75,47.09,909983.5,104.43,0.44,122.77,80.35,56.77
"Curis, Inc.",CRIS,YES,Medical,Medical - Biomedical and Genetics,84.17,165.63,2111691,0.5082,1.29,2.67,0.48,1.23
"Comstock Resources, Inc.",CRK,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,82.61,16.17,601460.5,5.11,-0.09,10.49,4.14,15.28
"Charles River Laboratories International, Inc.",CRL,YES,Medical,Medical Services,4912.69,47.43,310049.59,103.58,0.68,118.09,87.09,53.19
Salesforce.com Inc,CRM,YES,Computer and Technology,Computer - Software,84646.34,722.3,7013843,117.19,1.23,127.99,83.13,75.93
CorMedix Inc,CRMD,YES,Medical,Medical - Biomedical and Genetics,18.75,81.48,2182483.25,0.2301,0.95,1.24,0.18,4.62
Cardiome Pharma Corporation,CRME,YES,Medical,Medical - Drugs,80.2,34.87,407364.09,2.3,0.22,4.71,1.29,29.53
"America's Car-Mart, Inc.",CRMT,YES,Retail-Wholesale,Automotive - Retail and Whole Sales,343.16,6.92,35593.65,49.6,0.86,52.2,34.05,85.68
Ceragon Networks Ltd.,CRNT,YES,Computer and Technology,Wireless Non-US ,207.83,78.13,391128.09,2.66,0.64,3.57,1.69,51.6
"Crocs, Inc.",CROX,YES,Consumer Discretionary,Textile - Apparel,1143.28,68.83,1014098.19,16.61,0.3,17.32,5.94,93.76
"Carbo Ceramics, Inc.",CRR,YES,Oils-Energy,Oil and Gas - Field Services,194.85,27.14,504513.84,7.18,1.68,12.16,6.02,18.89
Carpenter Technology Corporation,CRS,YES,Basic Materials,Steel - Speciality,2163.78,46.92,479544.41,46.12,2.02,54.09,34.66,58.98
CRISPR THERAPTC,CRSP,YES,Medical,Medical - Biomedical and Genetics,2115.91,47.17,1150885.75,44.86,3.56,58.17,13.62,70.12
Criteo S.A.,CRTO,YES,Computer and Technology,Internet - Software and Services,1778.52,65.99,700195.44,26.95,1.89,55.39,22.12,14.52
"Cirrus Logic, Inc.",CRUS,YES,Computer and Technology,Electronics - Semiconductors,2376.87,63.37,1209795.25,37.51,0.22,71.16,37.51,0
CorVel Corp.,CRVL,YES,Business Services,Business - Services,954.38,18.88,36780.5,50.55,0.68,60.3,41.3,48.68
"Crown Crafts, Inc.",CRWS,YES,Consumer Discretionary,Textile - Home Furnishing,58.95,10.09,11243.15,5.845,0.53,8,5.4,17.11
"CryoLife, Inc.",CRY,YES,Medical,Medical - Instruments,680.86,33.46,115798.75,20.35,0.73,23.85,14.6,62.16
"Carrizo Oil & Gas, Inc.",CRZO,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,1302.7,81.47,3216405,15.99,2.1,28.9,11.38,26.31
Credit Suisse Group,CS,YES,Finance,Banks - Foreign,41509.63,2556.01,2601886.5,16.24,1.44,19.98,13.37,43.42
"Cisco Systems, Inc.",CSCO,YES,Computer and Technology,Computer - Networking,198337.2,4817.52,29606212,41.17,1.14,45.55,30.37,71.15
CenterState Bank Corporation,CSFL,YES,Finance,Banks - Southeast,2190.45,83.61,564463.81,26.2,0.55,28.45,22.17,64.17
"CoStar Group, Inc.",CSGP,YES,Computer and Technology,Computers - IT Services,12880.75,36.1,226796.8,356.86,1.52,375.8,204.52,88.94
"CSG Systems International, Inc.",CSGS,YES,Computer and Technology,Computer - Services,1492.69,33.67,236859.7,44.33,0.92,48.5,36.08,66.43
"Cardiovascular Systems, Inc.",CSII,YES,Medical,Medical - Products,749.74,33.22,223436.59,22.57,2.15,32.89,21.05,12.84
Canadian Solar Inc.,CSIQ,YES,Oils-Energy,Solar,929.21,58,789758.13,16.02,2.67,18.87,12.28,56.75
iShares 1-3 Year Credit Bond ETF,CSJ,YES,Finance,Financial - Investment Funds,10791.05,103.9,670996.44,103.86,0.02,105.57,103.62,12.31
Carlisle Companies Incorporated,CSL,YES,Conglomerates,Diversified Operations,6018.88,61.79,484551.25,97.41,0.85,118.75,92.4,19.01
"Castlight Health, inc.",CSLT,YES,Computer and Technology,Internet - Software,466.69,135.27,245444.66,3.45,1.39,4.55,3.2,18.52
"Cornerstone OnDemand, Inc.",CSOD,YES,Computer and Technology,Computer - Software,2296.2,57.32,504764.09,40.06,0.58,45.66,33.82,52.7
Caesarstone Ltd.,CSTE,YES,Construction,Building Products - Miscellaneous,683.54,34.35,204862.84,19.9,1.74,43.75,18.7,4.79
Constellium N.V.,CSTM,YES,Industrial Products,Metal Products - Procurement and Fabrication,1193.08,105.58,976720.19,11.3,0.9,13.95,5.45,68.82
Capital Senior Living Corporation,CSU,YES,Medical,Medical - Nursing Homes,320.87,30.5,254838.09,10.52,1.17,16.5,10.4,1.97
"Carriage Services, Inc.",CSV,YES,Consumer Staples,Funeral Services,449.51,16.18,102218.8,27.78,0.65,28.82,23.31,81.13
Capital Southwest Corporation,CSWC,YES,Finance,Financial - Investment Management,274.85,16.19,17058.85,16.98,0.3,17.72,15.46,67.26
CSX Corporation,CSX,YES,Transportation,Transportation - Rail,47809.16,878.52,5142150.5,54.42,1.21,59.26,46.4,62.36
Cintas Corporation,CTAS,YES,Industrial Products,Uniform and Related,17887.27,106.68,592303.38,167.67,0.9,178.3,120.17,81.71
Cooper Tire & Rubber Company,CTB,YES,Auto-Tires-Trucks,Rubber - Tires,1488.38,50.8,640055.63,29.3,0.43,44.45,28.35,5.9
"Community Trust Bancorp, Inc.",CTBI,YES,Finance,Banks - Southeast,799.64,17.71,48712.7,45.15,0.67,51.65,40.5,41.7
"Computer Task Group, Incorporated",CTG,YES,Computer and Technology,Computers - IT Services,126.14,15.29,98762.8,8.25,0.48,8.35,4.96,97.05
CTI BioPharma Corp.,CTIC,YES,Medical,Medical - Drugs,225.55,57.98,256710.66,3.89,0.14,4.27,2.47,78.89
"CenturyLink, Inc.",CTL,YES,Computer and Technology,Wireless National,18519.31,1069.86,12433459,17.31,0.79,27.31,13.62,26.95
"Catalent, Inc.",CTLT,YES,Medical,Medical - Drugs,5266.09,133.32,741656.44,39.5,1.53,47.39,27.66,60.01
"CytomX Therapeutics, Inc.",CTMX,YES,Medical,Medical - Biomedical and Genetics,1097.71,38.61,406721.75,28.43,0.91,34.22,13.2,72.46
"CareTrust REIT, Inc.",CTRE,YES,Finance,REIT and Equity Trust - Other,1022.54,76.14,738567.88,13.43,0.7,19.68,13.15,4.29
Control4 Corporation,CTRL,YES,Computer and Technology,Electronics - Miscellaneous Products,551.64,26.02,342673.66,21.2,-0.31,35.76,15.09,29.56
"Citi Trends, Inc.",CTRN,YES,Retail-Wholesale,Retail - Apparel and Shoes,439.81,13.74,184979.8,32.01,0.22,32.01,16.55,100
"Ctrip.com International, Ltd.",CTRP,YES,Retail-Wholesale,Internet - Commerce,22982.89,513.24,5487538.5,44.78,1.8,59.73,42.98,10.75
CTS Corporation,CTS,YES,Computer and Technology,Electronics - Miscellaneous Components,938.75,32.94,98115.5,28.5,1.2,28.65,19.4,98.38
Cognizant Technology Solutions Corporation,CTSH,YES,Computer and Technology,Business - Software Services,46403.11,588.05,3394272.5,78.91,1.04,84.83,57.78,78.11
Cytosorbents Corporation,CTSO,YES,Medical,Medical - Products,216.61,29.47,183672.59,7.35,-0.09,8.2,3.45,82.11
"CatchMark Timber Trust, Inc.",CTT,YES,Finance,Financial - Consumer Loans,555.24,43.38,577805.25,12.8,0.64,13.64,11.03,67.82
"Connecticut Water Service, Inc.",CTWS,YES,Utilities,Utility - Water Supply,734.81,11.86,125371,61.95,-0.05,63.55,49.11,88.92
"Citrix Systems, Inc.",CTXS,YES,Computer and Technology,Computer - Software,12561.27,136.15,1758943.75,92.26,1.27,95.88,74.52,83.05
Cubic Corporation,CUB,YES,Computer and Technology,Electronics - Miscellaneous Products,1678.29,27.22,165872.45,61.65,0.94,65.65,40.2,84.28
CubeSmart,CUBE,YES,Finance,REIT and Equity Trust - Other,5151.17,182.28,1172304.25,28.26,0.09,29.65,22.94,79.29
"Customers Bancorp, Inc",CUBI,YES,Finance,Banks - Southeast,901.37,31.44,168900.25,28.67,0.8,33.16,25.06,44.57
"CUI Global, Inc.",CUI,YES,Industrial Products,Manufacturing - Electronics,78.91,28.49,45715.95,2.77,0.33,4.67,2.46,14.03
Carnival Corporation,CUK,YES,Consumer Discretionary,Leisure and Recreation Services,13643.01,209.35,328421.56,65.17,0.83,71.67,56.93,55.9
"Culp, Inc.",CULP,YES,Consumer Discretionary,Textile - Home Furnishing,389.68,12.45,21183.35,31.3,0.16,33.85,27.45,60.16
"Neuralstem, Inc.",CUR,YES,Medical,Medical - Biomedical and Genetics,25.92,15.16,97970,1.71,1.51,6.33,0.94,14.32
"Cutera, Inc.",CUTR,YES,Computer and Technology,Lasers Systems and Components,681.19,13.58,178411.5,50.15,0.45,54.6,19.55,87.3
Cousins Properties Incorporated,CUZ,YES,Finance,REIT and Equity Trust - Other,3561.51,419.99,3901403.25,8.48,0.93,9.58,8.31,13.39
Covanta Holding Corporation,CVA,YES,Oils-Energy,Alternative Energy - Other,1860.09,130.99,778637.75,14.2,0.7,17.2,13.2,25
CVB Financial Corporation,CVBF,YES,Finance,Banks - West,2436.72,110.26,349749.75,22.1,1.38,25.14,19.89,42.1
"Cavco Industries, Inc.",CVCO,YES,Construction,Building Products - Mobile Homes and RV Builders,1589.1,9.04,42272.15,175.85,1.37,182.5,110.25,90.8
Central Valley Community Bancorp,CVCY,YES,Finance,Banks - West,272.83,13.75,21770.7,19.84,0.08,23.64,18.35,28.17
Cenovus Energy Inc,CVE,YES,Oils-Energy,Oil and Gas - Integrated - Canadian,11464.61,1228.79,4223506.5,9.33,0.71,11.39,6.8,55.12
Civeo Corporation,CVEO,YES,Consumer Discretionary,Hotels and Motels,501.47,132.31,880280.69,3.79,4.4,4.08,1.59,88.35
Convergys Corporation,CVG,YES,Business Services,Outsourcing,2072.41,91.62,650778.88,22.62,0.98,26.65,21.24,25.51
"Commercial Vehicle Group, Inc.",CVGI,YES,Auto-Tires-Trucks,Automotive - Original Equipment,219.82,31,514886.94,7.09,1.5,13.44,5.6,19
"Calavo Growers, Inc.",CVGW,YES,Consumer Staples,Agriculture - Operations,1613.12,17.54,182645.5,91.95,0.64,96.3,61.65,87.45
CVR Energy Inc.,CVI,YES,Oils-Energy,Oil and Gas - Refining and Marketing,2760.36,86.83,388882,31.79,1.71,39.33,17.06,66.14
"CommVault Systems, Inc.",CVLT,YES,Computer and Technology,Computer - Software,2997.65,44.94,945712.19,66.7,1.15,67.1,49.75,97.69
"CVR Refining, LP",CVRR,YES,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,2162.34,147.6,478235.06,14.65,1.35,17.55,6.75,73.15
CVS Health Corporation,CVS,YES,Retail-Wholesale,Retail - Pharmacies and Drug Stores,64230.02,1014.53,7879469.5,63.31,1.05,83.63,60.6,11.77
"Covenant Transportation Group, Inc.",CVTI,YES,Transportation,Transportation - Truck,528.27,18.33,268426.66,28.82,1.53,32.05,16,79.88
Chevron Corporation,CVX,YES,Oils-Energy,Oil and Gas - Integrated - International,221551.16,1910.25,6296839.5,115.98,1.16,133.6,103.04,42.34
Consolidated Water Co. Ltd.,CWCO,YES,Utilities,Utility - Water Supply,204.76,14.95,54770.9,13.7,0.62,14.8,11.2,69.44
Camping World Holdings Inc.,CWH,YES,Consumer Discretionary,Leisure and Recreation Services,2593.39,87.58,1430526.88,29.61,2.83,47.21,26.56,14.77
"Casella Waste Systems, Inc.",CWST,YES,Industrial Products,Pollution Control,1027.88,42.28,305809.56,24.31,0.92,26.9,13.56,80.58
California Water  Service Group Holding,CWT,YES,Utilities,Utility - Water Supply,1769.22,48.01,405255.5,36.85,0.65,45.6,33.25,29.15
Cemex S.A.B. de C.V.,CX,YES,Construction,Building Products - Concrete and Aggregates,10280.29,1460.27,10563484,7.04,1.37,10.26,6.52,13.9
China XD Plastics Company Limited,CXDC,YES,Basic Materials,Chemical - Plastic,206.37,49.73,16807,4.15,2.38,5,4.15,0
Concho Resources Inc.,CXO,YES,Oils-Energy,Oil and Gas - Exploration and Production - United States,19882.68,149.07,2478480.75,133.38,0.97,161.66,108.05,47.25
"Columbia Property Trust, Inc.",CXP,YES,Finance,REIT and Equity Trust - Other,2430.33,119.9,758847.88,20.27,1.03,23.16,19.61,18.59
Concordia International Corp.,CXRX,YES,Medical,Medical - Drugs,26.38,51.28,100843.45,0.5144,0.97,2.08,0.46,3.63
Corrections Corp. of America,CXW,YES,Finance,REIT and Equity Trust - Other,2462.19,118.2,876592.13,20.83,0.92,34.94,19,11.48
Cypress Semiconductor Corporation,CY,YES,Computer and Technology,Semiconductor - Communications ,5815.42,358.09,6022335.5,16.24,2.05,18.62,12.79,59.18
CyberArk Software Ltd.,CYBR,YES,Computer and Technology,Security,1804.18,35.58,341567.84,50.71,2.04,55.25,39.49,71.19
China Yuchai International Limited,CYD,YES,Auto-Tires-Trucks,Automotive - Original Equipment,858.68,40.81,61558.7,21.04,1.05,27.75,16.61,39.77
"Community Health Systems, Inc.",CYH,YES,Medical,Medical - Hospital,469.97,114.63,2613040.5,4.1,1.59,10.32,3.84,4.01
Changyou.com Limited,CYOU,YES,Computer and Technology,Internet - Content,1565.72,52.72,168103.8,29.7,0.87,43.08,26.99,16.84
"CryoPort, Inc.",CYRX,YES,Transportation,Transportation - Services,230.61,27.49,138506.75,8.39,0.66,10.22,2.15,77.32
"CYS Investments, Inc.",CYS,YES,Finance,REIT and Equity Trust,1052.64,155.03,1906106,6.79,0.33,8.92,6.32,18.08
"Cytokinetics, Incorporated",CYTK,YES,Medical,Medical - Biomedical and Genetics,388.86,54.01,408110.09,7.2,1.16,17,6.9,2.97
CytRx Corporation,CYTR,YES,Medical,Medical - Biomedical and Genetics,45.7,28.04,473445.41,1.63,2.05,5.8,1.46,3.92
Cytori Therapeutics Inc,CYTX,YES,Medical,Medical - Biomedical and Genetics,17.25,61.61,473027.25,0.28,3.13,1.72,0.23,3.29
Citizens & Northern Corp,CZNC,YES,Finance,Banks - Northeast,289.27,12.25,16937.2,23.62,0.43,26.44,22.1,35.02
Caesars Entertainment Corporation,CZR,YES,Consumer Discretionary,Gaming,7455.07,696.73,15027858,10.7,0.3,14.35,9.5,24.74
Cosan Limited,CZZ,YES,Basic Materials,Agriculture - Products,2795.13,264.69,910751.19,10.56,2.36,11.76,5.69,80.23
Dominion Energy Inc.,D,YES,Utilities,Utility - Electric Power,43241.69,651.53,6005887.5,66.37,0.27,84.91,66.22,0.8
"Daktronics, Inc.",DAKT,YES,Computer and Technology,Electronics - Miscellaneous Products,391.82,44.47,161666,8.81,1.14,10.76,8.55,11.77
"Delta Air Lines, Inc.",DAL,YES,Transportation,Transportation - Airline,37155.36,706.91,6384963.5,52.56,1.08,60.13,44.03,52.98
Dana Incorporated,DAN,YES,Auto-Tires-Trucks,Automotive - Original Equipment,3801.92,145.06,1638011.13,26.21,1.77,34.88,17.57,49.91
Darling Ingredients Inc.,DAR,YES,Consumer Staples,Food - Miscellaneous,2802.79,164.68,755092,17.02,1.41,19.46,14.22,53.44
"Tableau Software, Inc.",DATA,YES,Computer and Technology,Internet - Software,6345.05,81.54,584950,77.82,0.79,86.64,50.48,75.61
Deutsche Bank Aktiengesellschaft,DB,YES,Finance,Banks - Foreign,28955.49,2066.77,5057912.5,14.01,1.44,20.1,13.68,5.14
PowerShares DB Agriculture Fund,DBA,YES,Finance,Financial - Investment Funds,698.83,36.8,895989.88,18.99,0.16,20.29,18.19,38.1
PowerShares DB Base Metals Fund,DBB,YES,Finance,Financial - Investment Funds,354.63,19.2,167314.7,18.47,0.27,19.72,15.39,71.13
PowerShares DB Commodity Index Tracking Fund,DBC,YES,Finance,Financial - Investment Funds,2473.24,146,2091103,16.94,0.39,17.27,13.74,90.65
"Diebold, Incorporated",DBD,YES,Computer and Technology,Computer - Integrated Systems,1097.34,75.94,1057978.75,14.45,2.05,29.2,14.3,1.01
PowerShares DB G10 Currency Harvest Fund,DBV,YES,Finance,Financial - Investment Funds,38.08,1.6,1306.55,23.8,0.35,25.33,21.39,61.17
DBV Technologies S.A.,DBVT,YES,Medical,Medical - Biomedical and Genetics,1388.83,57.04,239803.95,24.35,0.98,49.36,20.86,12.25
"Donaldson Company, Inc.",DCI,YES,Industrial Products,Pollution Control,5684.76,129.91,527274.81,43.76,1.14,52.18,43.4,4.1
"NTT DOCOMO, Inc",DCM,YES,Computer and Technology,Wireless Non-US ,97319.48,3704.59,174853.7,26.27,0.1,26.28,22.67,99.72
"Dime Community Bancshares, Inc.",DCOM,YES,Finance,Financial - Savings and Loan,688.76,37.43,172907.45,18.4,0.72,22.4,17.75,13.98
"DCP Midstream Partners, LP",DCP,YES,Oils-Energy,Oil and Gas - Production and Pipelines,4977.15,143.31,645823.13,34.73,2.09,42.49,29.79,38.9
DCT Industrial Trust Inc,DCT,YES,Finance,REIT and Equity Trust - Other,5195.13,93.71,450420.06,55.44,0.89,61.42,49.9,48.09
3D Systems Corporation,DDD,YES,Computer and Technology,Computer - Mini computers,1295.75,113.86,2321064.5,11.38,1.43,23.31,8.12,21.46
DDR Corp.,DDR,YES,Finance,REIT and Equity Trust - Retail,2728.01,369.15,5106055,7.39,0.61,12.85,6.84,9.15
"Dillard's, Inc.",DDS,YES,Retail-Wholesale,Retail - Regional Department Stores,2234.28,28.48,503889.44,78.44,1.08,87.97,46.93,76.78
Deere & Company,DE,YES,Industrial Products,Manufacturing - Farm Equipment,46288.71,323.79,2691664,142.96,0.8,171.49,107.54,55.39
"Easterly Government Properties, Inc.",DEA,YES,Finance,REIT and Equity Trust - Other,895.77,44.97,426064.69,19.92,0.48,22.09,19.04,28.85
Deckers Outdoor Corporation,DECK,YES,Consumer Discretionary,Shoes and Retail Apparel ,2934.89,31.76,848884.31,92.4,1,98.29,55.78,86.14
"Douglas Emmett, Inc.",DEI,YES,Finance,REIT and Equity Trust - Other,6009.42,169.57,743390.38,35.44,0.66,41.39,34.93,7.89
WisdomTree Emerging Markets High Dividend Fund,DEM,YES,Finance,Financial - Investment Funds,2227.32,48.2,195901.16,46.21,0.96,50.28,40.04,60.25
Denny's Corporation,DENN,YES,Retail-Wholesale,Retail - Restaurants,1028.75,64.26,245593.55,16.01,0.63,16.24,11.07,95.55
Diageo plc,DEO,YES,Consumer Staples,Beverages - Alcohol,87692.55,622.29,364604.59,140.92,0.7,146.12,113.76,83.93
"Depomed, Inc.",DEPO,YES,Medical,Medical - Drugs,422.38,63.52,848675.5,6.65,1.19,13.75,4.56,22.74
"Dermira, Inc.",DERM,YES,Medical,Medical - Drugs,301.54,41.82,1266364.25,7.21,1.52,34.17,7.12,0.33
Destination Maternity Corporation,DEST,YES,Retail-Wholesale,Retail - Apparel and Shoes,38.28,14.61,41233.6,2.62,-0.09,4.95,1.09,39.64
Dean Foods Company,DF,YES,Consumer Staples,Food - Dairy Products,814.11,91.17,2244510.75,8.93,0.45,20.05,8.29,5.44
Donnelley Financial Solutions Inc.,DFIN,YES,Computer and Technology,Internet - Software and Services,570.29,33.85,250389.66,16.85,2.42,23.63,16.57,3.97
"Del Frisco's Restaurant Group, Inc.",DFRG,YES,Retail-Wholesale,Retail - Restaurants,321.41,20.34,199003,15.8,1.01,18.65,12.4,54.4
Discover Financial Services,DFS,YES,Finance,Financial - Consumer Loans,25070.67,354.76,2198851.5,70.67,1.46,81.31,57.66,55.01
Dollar General Corporation,DG,YES,Retail-Wholesale,Retail - Discount Stores,25988.63,271.56,3077487.75,95.7,1.02,105.34,68.74,73.66
"Donegal Group, Inc.",DGICA,YES,Finance,Insurance - Property and Casualty,428.34,28.2,32758.15,15.19,0.42,18.21,14.6,16.34
Digi International Inc.,DGII,YES,Computer and Technology,Computer - Networking,285.15,27.03,114389.95,10.55,1.45,12.4,8.6,51.32
Quest Diagnostics Incorporated,DGX,YES,Medical,Medical - Outpatient and Home Healthcare,13287.09,135.64,836000.38,97.96,0.7,111.16,90.86,34.97
"D.R. Horton, Inc.",DHI,YES,Construction,Building Products - Home Builders,16946.5,375.92,3665830.75,45.08,1.12,52.87,32.28,62.17
Danaher Corporation,DHR,YES,Conglomerates,Diversified Operations,68082.78,697.57,2022078.38,97.6,1.03,103.8,79.29,74.7
"DHT Holdings, Inc.",DHT,YES,Transportation,Transportation - Shipping,489.92,142.42,691990.38,3.44,0.66,4.91,3.33,6.96
"DHI Group, Inc.",DHX,YES,Computer and Technology,Internet - Content,85.69,50.41,338164.16,1.7,0.8,4.7,1.6,3.23
SPDR Dow Jones Industrial Average ETF,DIA,YES,Finance,Financial - Investment Funds,21765.77,90.79,5964428.5,239.73,1.03,265.91,203.85,57.81
"DineEquity, Inc",DIN,YES,Retail-Wholesale,Retail - Restaurants,1271.37,18,421928.44,70.64,0.21,78.69,37.29,80.56
Diodes Incorporated,DIOD,YES,Computer and Technology,Electronics - Semiconductors,1473.22,49.14,345315.84,29.98,0.9,35.09,22.55,59.25
The Walt Disney Company,DIS,YES,Consumer Discretionary,Media Conglomerates,149916.5,1503.68,7264996,99.7,1.3,115.84,96.91,14.74
"Discovery Communications, Inc.",DISCA,YES,Consumer Discretionary,Broadcast Radio and Television,8604.37,381.91,5302747,22.53,1.54,29.4,16.28,47.64
"Discovery Communications, Inc.",DISCK,YES,Consumer Discretionary,Broadcast Radio and Television,7894.02,381.91,5459955.5,20.67,1.46,28.9,15.27,39.62
DISH Network Corporation,DISH,YES,Consumer Discretionary,Cable Television,17921.97,466.48,2280676.75,38.42,1.13,66.19,36.65,5.99
"Delek US Holdings, Inc.",DK,YES,Oils-Energy,Oil and Gas - Refining and Marketing,3529.64,83.92,1633271.63,42.06,1.44,42.9,20.88,96.18
