Company Name,Ticker,Optionable,Sector,Industry,Market Cap ,Shares Outstanding ,Avg Volume,Last Close,Beta,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range
"ArQule, Inc.",ARQL,YES,Medical,Medical - Drugs,219.52,87.11,1469109.75,2.52,0.83,3.18,0.96,70.27
"ARMOUR Residential REIT, Inc.",ARR,YES,Finance,REIT and Equity Trust,981.61,41.88,419535.41,23.44,0.53,27.48,21.42,33.33
ARRIS International plc,ARRS,YES,Computer and Technology,Communication - Components,4899.56,185.24,1414051.75,26.45,1.19,29.97,23.17,48.24
Array BioPharma Inc.,ARRY,YES,Medical,Medical - Biomedical and Genetics,2987.89,207.64,2785370.5,14.39,1.73,18.4,6.96,64.95
Artesian Resources Corporation,ARTNA,YES,Utilities,Utility - Water Supply,336.14,9.22,18164.6,36.45,0.1,42.66,32.51,38.82
"Arrow Electronics, Inc.",ARW,YES,Computer and Technology,Electronics - Parts Distribution,6502.79,87.71,527262.5,74.14,1.16,86.94,69.97,24.57
"Arrowhead Pharmaceuticals, Inc.",ARWR,YES,Medical,Medical - Drugs,553.7,86.79,1609501.25,6.38,2.36,7.64,1.44,79.68
ASA Gold and Precious Metals Limited,ASA,YES,Finance,Financial - Investment Funds,201.58,19.29,100664.05,10.45,-0.04,12.94,10.13,11.39
Associated Banc-Corp,ASB,YES,Finance,Banks - Midwest,3701.19,151.69,1526781.25,24.4,1,26.9,21.25,55.75
Ardmore Shipping Corporation,ASC,YES,Transportation,Transportation - Shipping,255.18,33.58,164489.55,7.6,0.95,8.95,6.55,43.75
"Ascent Capital Group, Inc.",ASCMA,YES,Industrial Products,Security and Safety Services,43.83,12.38,97852.9,3.54,1.81,17.27,3.41,0.94
"Asta Funding, Inc.",ASFI,YES,Finance,Financial - Consumer Loans,21.86,6.62,13103.2,3.3,0.03,11.25,3.3,0
"On Assignment, Inc.",ASGN,YES,Business Services,Staffing Firms,4274.25,52.18,344304.06,81.92,1.89,85.53,45.12,91.07
Ashland Global Holdings Inc.,ASH,YES,Basic Materials,Chemical - Specialty,4300.63,62.23,1016032.38,69.11,1.15,127.56,60.79,12.46
AdvanSix Inc.,ASIX,YES,Basic Materials,Chemical - Specialty,1074.19,30.48,324039.94,35.24,1.43,46.27,24.91,48.36
"Assembly Biosciences, Inc.",ASMB,YES,Medical,Medical - Generic Drugs,929.33,20.25,209720.05,45.89,0.74,64.16,20.35,58.3
ASML Holding N.V.,ASML,YES,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,84850.34,427.39,943327.63,198.53,1.17,214.44,126.89,81.83
"Ascena Retail Group, Inc.",ASNA,YES,Retail-Wholesale,Retail - Apparel and Shoes,427.7,196.2,1644886.88,2.18,1.74,4.1,1.72,19.33
Ascendis Pharma A/S,ASND,YES,Medical,Medical - Biomedical and Genetics,2481.46,41.52,131211.59,59.76,0.64,68.04,22.54,81.8
Altisource Portfolio Solutions S.A.,ASPS,YES,Finance,REIT and Equity Trust,452.22,17.4,174293.25,25.99,1.05,45.02,17.92,29.78
"Grupo Aeroportuario del Sureste, S.A. de C.V.",ASR,YES,Transportation,Transportation - Services,4677.16,27.7,51525.3,168.82,0.69,228.06,167.07,2.87
AmeriServ Financial Inc.,ASRV,YES,Finance,Banks - Northeast,72.26,18.06,22820.15,4,0.18,4.35,3.8,36.36
"Asterias Biotherapeutics, Inc.",AST,YES,Medical,Medical - Biomedical and Genetics,81.3,54.2,238357.55,1.5,1.34,4.05,1.4,3.77
"Astec Industries, Inc.",ASTE,YES,Industrial Products,Manufacturing - Construction and Mining,1241.06,23.07,121594.15,53.79,1.13,65.33,46.12,39.93
Asure Software Inc,ASUR,YES,Computer and Technology,Internet - Delivery Services,177.06,12.58,254937.3,14.07,1.23,17.42,9.7,56.61
"Advanced Semiconductor Engineering, Inc.",ASX,YES,Computer and Technology,Electronics - Semiconductors,11748.43,1654.71,805074.25,7.1,0.73,7.48,5.86,76.54
"Amtech Systems, Inc.",ASYS,YES,Computer and Technology,Semiconductor - General,111.12,14.9,137339.66,7.46,2.04,15.25,5.18,22.64
Atlantic Power Corporation,AT,YES,Utilities,Utility - Electric Power,249.42,116.01,465421.69,2.15,1.69,2.7,1.85,35.29
"America First Multifamily Investors, L.P.",ATAX,YES,Finance,Financial - Investment Management,372.81,60.37,68244.6,6.175,0.35,6.4,5.6,71.88
"A10 Networks, Inc.",ATEN,YES,Computer and Technology,Communication - Network Software,412.48,70.75,477801,5.83,0.75,9.55,5.67,4.12
Adtalem Global Education Inc.,ATGE,YES,Consumer Discretionary,Schools,2905.35,60.28,353128.31,48.2,0.91,49.75,31.35,91.58
Athene Holding Ltd.,ATH,YES,Finance,Insurance - Life Insurance,9503.15,199.9,1432793.75,47.54,0.23,55.02,46.67,10.42
Autohome Inc.,ATHM,YES,Computer and Technology,Internet - Services,10556.62,118.16,724060.06,89.34,2.13,92.24,28.9,95.42
"athenahealth, Inc.",ATHN,YES,Medical,Medical Info Systems,5513.05,40.1,430262.34,137.49,1.13,155.93,98.01,68.16
"Athersys, Inc.",ATHX,YES,Medical,Medical - Biomedical and Genetics,232.79,125.83,653137.38,1.85,-0.85,2.55,1.34,42.15
Allegheny Technologies Incorporated,ATI,YES,Basic Materials,Steel - Speciality,3059.84,125.66,1658796.13,24.35,2.39,29.77,14.89,63.58
Atkore International Group Inc.,ATKR,YES,Industrial Products,Wire and Cable Products,1189.45,63.61,379716.41,18.7,1.62,26.47,15.87,26.7
Atlanticus Holdings Corporation,ATLC,YES,Finance,Financial - Miscellaneous Services,31.03,15.36,4705.05,2.02,0.24,3.19,1.96,4.88
"ATN International, Inc.",ATNI,YES,Computer and Technology,Wireless National,982.84,16.03,100830.95,61.32,0.48,73.13,49.95,49.05
"Actinium Pharmaceuticals, Inc.",ATNM,YES,Medical,Medical - Drugs,40.55,110.2,974074.63,0.368,2.12,1.55,0.36,0.67
Atmos Energy Corporation,ATO,YES,Utilities,Utility - Gas Distribution,9340.46,110.96,541565.56,84.18,0.24,92.29,78.03,43.13
"AptarGroup, Inc.",ATR,YES,Industrial Products,Containers - Paper and Packaging,5583.83,62.11,262853.31,89.9,0.79,91.83,75.8,87.96
"Atara Biotherapeutics, Inc.",ATRA,YES,Medical,Medical - Biomedical and Genetics,1397.73,38.83,704736.5,36,2.55,48.35,12.3,65.74
"AtriCure, Inc.",ATRC,YES,Medical,Medical - Products,679.11,34.56,204336.2,19.65,0.26,24.88,15.05,46.8
"Antares Pharma, Inc.",ATRS,YES,Medical,Medical - Dental Supplies,327.69,156.79,1440152.38,2.09,0.21,3.96,1.63,19.74
"Air Transport Services Group, Inc",ATSG,YES,Transportation,Transportation - Air Freight and Cargo,1324.55,59.24,369158.69,22.36,1.82,27.07,16.09,57.1
Attunity Ltd.,ATTU,YES,Computer and Technology,Internet - Software,151.34,20.73,20257.5,7.3,1.47,8.07,6.34,55.49
Actuant Corporation,ATU,YES,Industrial Products,Manufacturing - Tools & Related Products,1350.17,60.01,608028.88,22.5,1.52,27.55,22.05,8.18
"Activision Blizzard, Inc",ATVI,YES,Consumer Discretionary,Toys - Games - Hobbies,49895.2,758.63,6819401.5,65.77,1.16,78.22,48.42,58.22
AngloGold Ashanti Limited,AU,YES,Basic Materials,Mining - Gold,3786.59,409.36,2845499.75,9.25,-0.93,13.06,8.93,7.75
AudioCodes Ltd.,AUDC,YES,Computer and Technology,Communication - Components,200.11,28.63,39312.75,6.99,0.37,8.33,5.98,42.98
Golden Minerals Company,AUMN,YES,Basic Materials,Mining - Miscellaneous,39.13,91.93,157819.16,0.4256,0.19,0.64,0.37,19.47
AU Optronics Corp,AUO,YES,Computer and Technology,Electronics - Miscellaneous Components,4253.92,962.42,788197.13,4.42,0.82,4.99,3.66,57.14
Aurinia Pharmaceuticals Inc,AUPH,YES,Medical,Medical - Drugs,433.71,84.05,703896,5.16,2.26,7.68,4.53,20
Autobytel Inc.,AUTO,YES,Auto-Tires-Trucks,Automotive - Domestic,39.35,13.07,142627.09,3.01,1.56,14.09,2.94,0.63
Yamana Gold Inc.,AUY,YES,Basic Materials,Mining - Gold,2666.29,948.86,11035551,2.81,0.86,3.68,2.23,40
Avista Corporation,AVA,YES,Utilities,Utility - Electric Power,3366.73,65.63,579356.88,51.3,0.3,52.74,39.41,89.2
"AvalonBay Communities, Inc.",AVB,YES,Finance,REIT and Equity Trust - Residential,22843.76,138.1,740777.13,165.42,0.36,199.1,153.9,25.49
