462,TXN
463,TXT
464,UA
465,UAA
466,UAL
467,UDR
468,UHS
469,ULTA
470,UNH
471,UNM
472,UNP
473,UPS
474,URI
475,USB
476,UTX
477,V
478,VAR
479,VFC
480,VIAB
481,VLO
482,VMC
483,VNO
484,VRSK
485,VRSN
486,VRTX
487,VTR
488,VZ
489,WAT
490,WBA
491,WDC
492,WEC
493,WELL
494,WFC
495,WHR
496,WLTW
497,WM
498,WMB
499,WMT
500,WRK
501,WU
502,WY
503,WYN
504,WYNN
505,XBI
506,XEC
507,XEL
508,XL
509,XLNX
510,XLP
511,XOM
512,XRAY
513,XRT
514,XRX
515,XYL
516,YUM
517,ZBH
518,ZION
519,ZTS
